,incremental_id,tender_title,buyer,award_date,award_value,contract_start,contract_end,supplier,source_url,# Data downloads from Spend Network
0,"4,271",External Audit Services,UNIVERSITY OF LINCOLN,22/07/2022,,,,KPMG LLP,https://www.find-tender.service.gov.uk/Notice/019976-2022,
1,"3,063",Hera Programme Trainers Phase 4,FOREIGN COMMONWEALTH AND DEVELOPMENT OFFICE,22/07/2022,445000.0,01/08/2022,30/12/2022,ERNST & YOUNG LLP,https://www.contractsfinder.service.gov.uk/Notice/82fc9fc7-1cd1-4b96-9cc3-1aca91686abb,
2,"4,248","No matching tender, likely a direct award",NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,21/07/2022,,06/09/2021,06/12/2023,BAIN,https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=df977ff6-c472-eb11-810a-005056b64545,
3,"4,320","No matching tender, likely a direct award",SHEFFIELD HALLAM UNIVERSITY,21/07/2022,875000.0,,,PRICEWATERHOUSECOOPERS LLP,https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=JUL405409,
4,"4,274",Internal Audit Services,SHEFFIELD HALLAM UNIVERSITY,20/07/2022,,,,PRICEWATERHOUSECOOPERS LLP,https://www.find-tender.service.gov.uk/Notice/019812-2022,
5,"3,062",Provision of Support for ITSM Tooling Transformation,FOREIGN COMMONWEALTH AND DEVELOPMENT OFFICE,20/07/2022,895050.0,20/07/2022,03/07/2024,DELOITTE LLP,https://www.contractsfinder.service.gov.uk/Notice/0d31fce0-0bac-43fd-8f89-a094ef587531,
6,"3,061",UKRI-1744 Research England multi-year data audit work,UK RESEARCH & INNOVATION,20/07/2022,348295.0,22/07/2022,22/07/2024,KPMG LLP,https://www.contractsfinder.service.gov.uk/Notice/3171bdbf-8a62-4730-9f5c-163d5a3cd231,
7,"3,060",LAS External Audit Services,LONDON AMBULANCE SERVICE NHS TRUST,20/07/2022,315000.0,01/04/2022,31/03/2025,KPMG LLP,https://www.contractsfinder.service.gov.uk/Notice/98d45e88-6475-410d-b7ff-2f8c0cea64a7,
8,"4,447","No matching tender, likely a direct award",LONDON BOROUGH OF WALTHAM FOREST,19/07/2022,,05/07/2022,09/09/2022,PA CONSULTING,https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=7dde6f9c-5e07-ed11-8116-005056b64545,
9,"3,059",Digital Test Service Phase 3,NHS DIGITAL,19/07/2022,30000000.0,20/07/2022,19/07/2024,ACCENTURE (UK) LIMITED,https://www.contractsfinder.service.gov.uk/Notice/9145b36b-316a-452f-bdc0-826cebf0ec5d,
10,"4,449","No matching tender, likely a direct award",DEPARTMENT FOR COMMUNITIES,19/07/2022,10500000.0,,,DELOITTE - MAIN ACCOUNT MCS/LLP,https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=JUL405138,
