"incremental_id","tender_title","buyer","award_date","award_value","contract_start","contract_end","supplier","source_url"
"3,157","Asset Management Transformation Strategic Delivery Partner","HIGHWAYS ENGLAND COMPANY LIMITED","11/08/2023","1,715,000","12/08/2021","11/08/2023","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/c142dec3-8ce4-4359-9cbd-3eca71e37fca"
"3,156","2022 Graduate Cohort Leadership Development","HOMES ENGLAND (THE NAME ADOPTED BY THE HOMES AND COMMUNITIES AGENCY)","30/09/2022","75,000","06/10/2022","20/05/2024","ERNST & YOUNG LLP","https://www.contractsfinder.service.gov.uk/Notice/c25e1327-6310-4121-8e9b-6023dbf629e2"
"4,030","Cash Collection & Cash in Transit Services","DURHAM COUNTY COUNCIL","29/09/2022","","","","G4S CASH SOLUTIONS (UK) LIMITED","https://www.find-tender.service.gov.uk/Notice/027361-2022"
"4,401","No matching tender, likely a direct award","CHESHIRE EAST BOROUGH COUNCIL","29/09/2022","416,697","","","CAPITA BUSINESS SERVICE LTD","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP413014"
"5,570","No matching tender, likely a direct award","LINCOLNSHIRE COUNTY COUNCIL","28/09/2022","","01/06/2022","31/05/2023","PA CONSULTING","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=a7f02efe-343f-ed11-8119-005056b64545"
"5,571","No matching tender, likely a direct award","HOMES ENGLAND (THE NAME ADOPTED BY THE HOMES AND COMMUNITIES AGENCY)","28/09/2022","","12/11/2022","12/11/2022","THE BOSTON CONSULTING GROUP","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=7b2309e5-550e-ed11-8116-005056b64545"
"4,027","21 083 Cash receipting and income management system","CHESHIRE EAST BOROUGH COUNCIL","28/09/2022","","","","CAPITA BUSINESS SERVICES LTD","https://www.find-tender.service.gov.uk/Notice/027124-2022"
"4,026","21 083 Cash receipting and income management system","CHESHIRE EAST BOROUGH COUNCIL","28/09/2022","","","","CAPITA BUSINESS SERVICE LTD","https://www.find-tender.service.gov.uk/Notice/027124-2022"
"5,561","No matching tender, likely a direct award","WIRRAL BOROUGH COUNCIL","28/09/2022","","22/07/2022","31/07/2025","CAPITA BUSINESS SERVICES LTD","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=66610ad7-e2f6-ec11-8116-005056b64545"
"5,562","No matching tender, likely a direct award","UK RESEARCH & INNOVATION","27/09/2022","286,000","","","PA CONSULTING SERVICES LTD","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP412774"
"5,413","No matching tender, likely a direct award","LIVERPOOL CITY COUNCIL","26/09/2022","","29/04/2022","28/04/2025","G4S CASH SOLUTIONS (UK) LIMITED","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=4fb8926b-78a4-ec11-8112-005056b64545"
"5,565","UKRI-2129 The Provision of a Programme Enhancement Team for the Connecting Capability Fund","UK RESEARCH & INNOVATION","26/09/2022","","","","PA CONSULTING SERVICES LTD","https://www.find-tender.service.gov.uk/Notice/026872-2022"
"3,155","Internal Audit Services 2022","BOURNEMOUTH UNIVERSITY","26/09/2022","135,160","01/08/2022","31/07/2026","PRICEWATERHOUSECOOPERS LLP","https://www.contractsfinder.service.gov.uk/Notice/02992313-a337-4ca9-96df-7f4b8a412082"
"5,575","No matching tender, likely a direct award","YORKSHIRE AMBULANCE SERVICE NHS TRUST","24/09/2022","","01/06/2020","01/01/2021","PA CONSULTING SERVICES LIMITED","https://www.blpd.gov.uk/foi/foicontractview.aspx?contractid=45427"
"5,574","ASH In-Service Support","MINISTRY OF DEFENCE","24/09/2022","2,200,000","","","DXC TECHNOLOGY","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP412662"
"5,208","ASH In-Service Support","MINISTRY OF DEFENCE","23/09/2022","","","","DXC TECHNOLOGY","https://www.find-tender.service.gov.uk/Notice/026787-2022"
"3,154","SIP Phase 2 Development","NATIONAL HIGHWAYS LIMITED","23/09/2022","460,001","24/09/2022","23/09/2023",""" PRICEWATERHOUSECOOPERS (PWC)""","https://www.contractsfinder.service.gov.uk/Notice/5ccb78ad-44b3-4593-8e1a-4f71ae4ccaea"
"3,153","CA10729 - Cheshire & Merseyside HCP Cyber Security Development & Security Operations Centre Development Roadmap","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","22/09/2022","100,000","30/09/2022","29/09/2023","DELOITTE LLP","https://www.contractsfinder.service.gov.uk/Notice/49d18a7e-38ad-4819-9186-594e53a90e22"
"5,524","No matching tender, likely a direct award","CORNWALL COUNCIL","21/09/2022","","06/05/2022","23/11/2022","KPMG LLP","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=f92af78b-8d39-ed11-8119-005056b64545"
"3,150","G-Cloud 12 for Digital Deliver Partner","CARE QUALITY COMMISSION","21/09/2022","3,333,333","21/09/2022","20/09/2026","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/dad113a5-f849-41a5-a81d-841610ab15d6"
"3,151","705172450 - TRANSPARENCY ONLY","MINISTRY OF DEFENCE","21/09/2022","1,000,000","21/09/2022","31/03/2023","PA CONSULTING SERVICES LTD (UK)","https://www.contractsfinder.service.gov.uk/Notice/3bdd68c9-e293-4585-99f4-ba9d7ad8f40d"
"3,152","PwC FTTS data reconciliation Notice","DVSA - DRIVER AND VEHICLE STANDARDS AGENCY","21/09/2022","52,785","21/09/2022","02/01/2023","PRICEWATERHOUSECOOPERS (PWC)","https://www.contractsfinder.service.gov.uk/Notice/ec8d00a3-db1b-44a1-bf49-4e733b1008f2"
"3,360","HMPPS Prisoner, Family and Significant Other Support Services Contracts","MINISTRY OF JUSTICE","20/09/2022","","","","G4S CARE AND JUSTICE (UK) LTD","https://www.find-tender.service.gov.uk/Notice/026175-2022"
"3,359","HMPPS Prisoner, Family and Significant Other Support Services Contracts","MINISTRY OF JUSTICE","20/09/2022","","","","G4S CARE AND JUSTICE (UK) LTD","https://www.find-tender.service.gov.uk/Notice/026175-2022"
"3,361","HMPPS Prisoner, Family and Significant Other Support Services Contracts","MINISTRY OF JUSTICE","20/09/2022","","","","G4S CARE AND JUSTICE (UK) LTD","https://www.find-tender.service.gov.uk/Notice/026175-2022"
"3,147","Data Collection & Analysis for the Same Day Emergency Care (SDEC) Programme","NHS ENGLAND","20/09/2022","119,995","05/09/2022","04/07/2023","DELOITTE","https://www.contractsfinder.service.gov.uk/Notice/e8fce282-1f6a-489d-8fe7-d00c5c89d3b0"
"3,149","Independent Turnaround Review of an Independent Provider of NHS Services","NHS ENGLAND","20/09/2022","249,900","05/09/2022","14/11/2022","DELOITTE","https://www.contractsfinder.service.gov.uk/Notice/a0e8b7f4-620f-492d-b985-dc69c99f7e55"
"3,148","Data Collection & Analysis for the Same Day Emergency Care (SDEC) Programme","NHS ENGLAND","20/09/2022","119,995","05/09/2022","04/07/2023","DELOITTE","https://www.contractsfinder.service.gov.uk/Notice/a79427e3-31c2-4139-a032-8c732b835966"
"3,146","ST22-P073 - GSTT Outline Business Case Support","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","16/09/2022","77,395","30/09/2022","29/11/2022","PA CONSULTING SERVICES LIMITED","https://www.contractsfinder.service.gov.uk/Notice/20d6126b-7e25-4c01-86a1-77d467eced57"
"4,647","No matching tender, likely a direct award","THE BRITISH BROADCASTING CORPORATION (BBC)","16/09/2022","40,000,000","","","ATOS IT SERVICES UK LIMITED","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP411736"
"5,553","No matching tender, likely a direct award","SOMERSET COUNTY COUNCIL","15/09/2022","","19/08/2022","31/12/2022","ERNST & YOUNG (EY)","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=0e5e6972-161e-ed11-8117-005056b64545"
"5,554","No matching tender, likely a direct award","LINCOLNSHIRE COUNTY COUNCIL","15/09/2022","","15/09/2022","31/03/2025","CAPITA BUSINESS SERVICES LIMITED","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=db0aeee8-0934-ed11-8119-005056b64545"
"3,329","BBC Media & Broadcast Systems Integrator","THE BRITISH BROADCASTING CORPORATION (BBC)","15/09/2022","","","","ATOS IT SERVICES UK LIMITED","https://www.find-tender.service.gov.uk/Notice/025891-2022"
"3,330","BBC Media & Broadcast Systems Integrator","THE BRITISH BROADCASTING CORPORATION (BBC)","15/09/2022","","","","ATOS IT SERVICES UK LIMITED","https://www.find-tender.service.gov.uk/Notice/025891-2022"
"5,545","No matching tender, likely a direct award","LONDON BOROUGH OF ENFIELD","14/09/2022","","18/04/2022","31/03/2023","CAPITA IT SERVICES LTD","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=64cf6d9a-0e34-ed11-8119-005056b64545"
"3,145","GB-Glasgow: MicroStrategy On Premise to SaaS Upgrade Software Subscription","STUDENT LOANS COMPANY","14/09/2022","767,030","15/09/2022","14/09/2025","ATOS IT SERVICES UK LIMITED","https://www.contractsfinder.service.gov.uk/Notice/27563723-df5d-4be0-9d62-06dcf8cd3988"
"3,144","Payment System","LINCOLNSHIRE COUNTY COUNCIL","14/09/2022","281,592","15/09/2022","31/03/2025","CAPITA BUSINESS SERVICES LIMITED","https://www.contractsfinder.service.gov.uk/Notice/b77b3f5a-8eab-4958-b537-d8bf44db27cf"
"4,964","No matching tender, likely a direct award","UNIVERSITY OF ULSTER","12/09/2022","625,460","","","DELOITTE (NI) LIMITED","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP411292"
"5,314","Internal Audit","UNIVERSITY OF ULSTER","11/09/2022","","","","DELOITTE (NI) LIMITED","https://www.find-tender.service.gov.uk/Notice/025445-2022"
"3,571","MTIS and TOM's","TRANSPENNINE EXPRESS LIMITED","10/09/2022","2,023,600","","","FUJITSU SYSTEMS LIMITED","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP411183"
"3,309","MTIS and TOM's","TRANSPENNINE EXPRESS LIMITED","09/09/2022","","","","FUJITSU SYSTEMS LIMITED","https://www.find-tender.service.gov.uk/Notice/025348-2022"
"3,142","Internal Audit Resource","PENSION PROTECTION FUND","09/09/2022","300,000","23/09/2022","22/09/2024","ERNST & YOUNG LLP","https://www.contractsfinder.service.gov.uk/Notice/38a1c238-8e7d-44fb-9b62-0ca125fa7df0"
"3,141","The Provision of Analytical Services","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST","09/09/2022","204,000","12/09/2022","12/12/2022","DELOITTE LLP","https://www.contractsfinder.service.gov.uk/Notice/0f2e1781-40ac-4bae-8ddf-fc5a9bc8502c"
"3,143","Specialist Tax Advice for UKRI","UK SHARED BUSINESS SERVICES LIMITED","09/09/2022","50,000","22/09/2022","25/11/2022","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/31a99a73-12a4-4701-abdd-618a858887d2"
"5,566","No matching tender, likely a direct award","NORTH TYNESIDE COUNCIL","09/09/2022","7,400,000","","","CAPITA BUSINESS SERVICES LIMITED","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP411036"
"3,308","North of Tyne Combined Authority and North East LEP Wave 3 Skills Bootcamp","NORTH TYNESIDE COUNCIL","08/09/2022","","","","CAPITA BUSINESS SERVICES LIMITED","https://www.find-tender.service.gov.uk/Notice/025204-2022"
"3,140","CAN 705141451 Data Dictionary Discovery Phase GCloud12","MINISTRY OF DEFENCE","08/09/2022","170,905","12/09/2022","12/12/2022","IBM UK LTD","https://www.contractsfinder.service.gov.uk/Notice/578494bd-c0ab-4423-bb9d-fec5a5c9d5dc"
"5,559","No matching tender, likely a direct award","HIGH SPEED TWO (HS2) LIMITED","08/09/2022","5,000,000","","","PA CONSULTING SERVICES LTD","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=SEP410883"
"3,282","Independent Innovation Advisory Support Services","HIGH SPEED TWO (HS2) LIMITED","07/09/2022","","","","PA CONSULTING SERVICES LTD","https://www.find-tender.service.gov.uk/Notice/025052-2022"
